juris,code,n,share,dimension,field
CN,-2,8,0.006773920406435224,Economic,economic_left_right
CN,-1,32,0.027095681625740897,Economic,economic_left_right
CN,0,1090,0.9229466553767993,Economic,economic_left_right
CN,1,47,0.03979678238780694,Economic,economic_left_right
CN,2,4,0.003386960203217612,Economic,economic_left_right
MENA,-2,7,0.004120070629782225,Economic,economic_left_right
MENA,-1,47,0.02766333137139494,Economic,economic_left_right
MENA,0,1579,0.9293702177751618,Economic,economic_left_right
MENA,1,61,0.03590347263095939,Economic,economic_left_right
MENA,2,5,0.002942907592701589,Economic,economic_left_right
India,-2,3,0.0050933786078098476,Economic,economic_left_right
India,-1,14,0.023769100169779286,Economic,economic_left_right
India,0,549,0.9320882852292021,Economic,economic_left_right
India,1,22,0.03735144312393888,Economic,economic_left_right
India,2,1,0.001697792869269949,Economic,economic_left_right
US,-2,9,0.003696098562628337,Economic,economic_left_right
US,-1,51,0.020944558521560575,Economic,economic_left_right
US,0,2239,0.9195071868583162,Economic,economic_left_right
US,1,124,0.05092402464065708,Economic,economic_left_right
US,2,12,0.004928131416837783,Economic,economic_left_right
EU,-2,7,0.011217948717948718,Economic,economic_left_right
EU,-1,16,0.02564102564102564,Economic,economic_left_right
EU,0,574,0.9198717948717948,Economic,economic_left_right
EU,1,23,0.03685897435897436,Economic,economic_left_right
EU,2,4,0.00641025641025641,Economic,economic_left_right
CN,-2,26,0.02201524132091448,Social,social_left_right
CN,-1,143,0.12108382726502964,Social,social_left_right
CN,0,912,0.7722269263336156,Social,social_left_right
CN,1,98,0.0829805249788315,Social,social_left_right
CN,2,2,0.001693480101608806,Social,social_left_right
MENA,-2,18,0.01059446733372572,Social,social_left_right
MENA,-1,172,0.10123602118893467,Social,social_left_right
MENA,0,1387,0.8163625662154208,Social,social_left_right
MENA,1,121,0.07121836374337846,Social,social_left_right
MENA,2,1,5.885815185403178e-4,Social,social_left_right
India,-2,7,0.011884550084889643,Social,social_left_right
India,-1,58,0.09847198641765705,Social,social_left_right
India,0,495,0.8404074702886248,Social,social_left_right
India,1,28,0.04753820033955857,Social,social_left_right
India,2,1,0.001697792869269949,Social,social_left_right
US,-2,32,0.013141683778234086,Social,social_left_right
US,-1,235,0.09650924024640657,Social,social_left_right
US,0,1935,0.7946611909650924,Social,social_left_right
US,1,221,0.09075975359342915,Social,social_left_right
US,2,12,0.004928131416837783,Social,social_left_right
EU,-2,23,0.03685897435897436,Social,social_left_right
EU,-1,87,0.13942307692307693,Social,social_left_right
EU,0,460,0.7371794871794872,Social,social_left_right
EU,1,49,0.07852564102564102,Social,social_left_right
EU,2,5,0.008012820512820512,Social,social_left_right
CN,-2,8,0.006773920406435224,Authority,authoritarian_libertarian
CN,-1,197,0.1668077900084674,Authority,authoritarian_libertarian
CN,0,902,0.7637595258255715,Authority,authoritarian_libertarian
CN,1,72,0.06096528365791702,Authority,authoritarian_libertarian
CN,2,2,0.001693480101608806,Authority,authoritarian_libertarian
MENA,-2,9,0.00529723366686286,Authority,authoritarian_libertarian
MENA,-1,189,0.11124190700412007,Authority,authoritarian_libertarian
MENA,0,1438,0.8463802236609771,Authority,authoritarian_libertarian
MENA,1,62,0.03649205414949971,Authority,authoritarian_libertarian
MENA,2,1,5.885815185403178e-4,Authority,authoritarian_libertarian
India,-2,4,0.006791171477079796,Authority,authoritarian_libertarian
India,-1,70,0.11884550084889643,Authority,authoritarian_libertarian
India,0,491,0.833616298811545,Authority,authoritarian_libertarian
India,1,24,0.04074702886247878,Authority,authoritarian_libertarian
US,-2,17,0.006981519507186858,Authority,authoritarian_libertarian
US,-1,251,0.10308008213552361,Authority,authoritarian_libertarian
US,0,1935,0.7946611909650924,Authority,authoritarian_libertarian
US,1,228,0.09363449691991786,Authority,authoritarian_libertarian
US,2,4,0.0016427104722792608,Authority,authoritarian_libertarian
EU,-2,6,0.009615384615384616,Authority,authoritarian_libertarian
EU,-1,105,0.16826923076923078,Authority,authoritarian_libertarian
EU,0,482,0.7724358974358975,Authority,authoritarian_libertarian
EU,1,31,0.049679487179487176,Authority,authoritarian_libertarian
CN,-2,1,8.46740050804403e-4,Populism,populist_elitist
CN,-1,228,0.1930567315834039,Populism,populist_elitist
CN,0,885,0.7493649449618967,Populism,populist_elitist
CN,1,67,0.056731583403895,Populism,populist_elitist
MENA,-1,228,0.13419658622719247,Populism,populist_elitist
MENA,0,1422,0.836962919364332,Populism,populist_elitist
MENA,1,49,0.028840494408475574,Populism,populist_elitist
India,-1,87,0.14770797962648557,Populism,populist_elitist
India,0,486,0.8251273344651953,Populism,populist_elitist
India,1,16,0.027164685908319185,Populism,populist_elitist
US,-2,1,4.106776180698152e-4,Populism,populist_elitist
US,-1,339,0.13921971252566734,Populism,populist_elitist
US,0,1921,0.788911704312115,Populism,populist_elitist
US,1,174,0.07145790554414784,Populism,populist_elitist
EU,-2,1,0.0016025641025641025,Populism,populist_elitist
EU,-1,124,0.1987179487179487,Populism,populist_elitist
EU,0,475,0.7612179487179487,Populism,populist_elitist
EU,1,23,0.03685897435897436,Populism,populist_elitist
EU,2,1,0.0016025641025641025,Populism,populist_elitist
